Qm
52.35
43.1
81.2
20.45
7.65
4.9
3.35
2.11
1.5
1.98
9.85
29.65
10.2
31.7
151
31.9
12.5
7.2
4.9
3.5
3.4
6.5
2.6
14.6
45.3
162
90.6
32.8
14.6
8
4.5
3.6
2.2
2.5
18.5
22.7
60.6
81.3
26.3
24.8
7.8
3.6
2.1
1.3
1.2
1.8
1.6
14.5
59.7
197.7
140.2
54.9
21.8
8.3
4.3
2.9
2.1
2
1.7
15.8
59.9
396.5
171.1
47.5
17.6
8.5
4.2
3.1
1.9
1.5
1.6
27.5
174
82.6
96.9
91.2
25.8
13.7
5.5
3.1
2.4
1.6
5.3
41.4
101.6
200.9
172.6
86.9
36.4
14.7
8.3
3.4
4.1
7.6
4.1
18.2
146.1
312.9
147.6
73.4
37.3
18.5
12.8
13.4
12.8
6.2
5.7
17.6
115
294.2
243.1
74.3
35.7
18.7
10.5
4.4
2.4
4
2.1
32.2
186.2
160.6
195.9
89.7
28.2
17.2
10.6
6.4
14.4
17.1
5.4
3.6
43.7
59.2
275.2
96.2
22.6
10.4
5.4
2.4
1.9
1.3
4.4
6.5
242.9
167.8
151.9
105.1
43.7
20.6
6.7
2.7
1.5
1.1
1.5
23.9
153.9
117.3
132.6
22.1
7.9
4
2.2
1.3
1.5
2.1
3.3
7.6
36.42
41.29
131.71
63.26
20.1
14.37
10.44
7.43
6.35
32.01
15.54
16.19
98.34
164.74
177.15
86.51
24.5
15.83
11
8.69
6.94
8.87
1.18
10.65
140.06
41.29
134.37
35.96
14.38
9.99
5.41
4.06
4.61
0
72.2
25.2
139.62
18.15
69.03
43.71
20.1
14.86
11
7.85
6.74
9.73
4.13
13.42
139.17
370.16
187.76
87.62
27.13
10.96
6.53
4.9
4.99
0
4.13
15.73
99.24
223.08
152.94
130.78
66.27
30.45
14.35
8.69
8.29
12.3
49.39
103.97
174.61
208.62
65.05
156.61
71.11
20.22
14.9
10.79
8.88
15.73
10.75
27.97
268.83
53.35
73.34
37.81
17.9
14.37
11
7.43
5.96
2.87
10.75
13.65
15.6
22.2
20.1
11.5
6.6
5.3
11
11
11.5
11.5
6.5
8.7
202.1
155.7
170.3
168.7
39.2
24
18.3
19.1
10.9
6.8
7.1
7.4
139.7
84.6
74.9
39.3
12.4
20.2
13.7
7.9
5.3
15.3
96.3
72.3
142.5
148.5
121.9
83
35.2
23.2
13.6
9
8.2
6
6.3
8.5
20.3
15
30.7
8.7
6.7
6
5.7
6.7
6.2
5.2
21
67.8
160.4
44.8
142.5
50.4
35.8
23.4
10.7
6.5
6.4
10.6
37.3
83.9
46.29
107.84
139.34
95.36
27.57
14.86
8.76
6.16
5.38
0
15.9
30.97
40.46
76.98
134.04
52.56
19.22
13.4
8.76
6.16
5.58
0
4.13
23.81
21.1
30.9
167.1
143.7
40.4
20.7
14.4
7.2
6.2
5.9
15.1
119.4
280
491
254.8
108.8
44.1
24.8
19.7
7.2
13.6
13
19.2
14.7
72.7
142
81.8
37.7
13.6
7.9
7.2
5.4
7.6
24.3
32.8
43.3
30.6
130.8
260.2
197.3
47.5
14.2
7.6
6.5
24.2
57.4
49.3
46.9
110.9
270.34
166.21
46.29
22.3
15.35
9.32
7
5.38
14.87
2.66
19.19
217.68
216.81
168.86
119.35
30.65
16.32
9.88
7.43
6.35
6.3
4.86
15.27
148.14
451.17
253.1
113.81
31.53
15.83
12.67
7.85
6.16
21.73
20.32
50.38
88.02
269.37
174.83
80.97
25.37
18.76
14.35
9.11
6.94
3.73
3.76
40.68
129.74
238.51
96.23
55.89
20.54
14.37
11
8.69
6.55
2.02
5.23
22.89
29.24
299.27
118.78
64.37
22.74
13.89
9.32
6.58
6.16
2.02
9.65
39.75
116.73
279.02
251.77
201.63
34.61
17.3
12.11
8.69
6.35
7.16
13.7
30.97
75.93
39.08
131.22
52.62
22.01
3.38
1.44
2.49
4.93
4.79
20.07
45.01
143.09
116.82
82.84
19.18
6.45
1.63
1.52
1.26
0.83
0.89
1.56
44.32
52.83
69.1
142.71
45.24
15.04
4.52
6.43
4.78
4.19
5.05
10.16
68.1
126.76
209.8
200.3
51.94
13.13
4.01
2.11
2.93
2.3
5.37
6.21
31.97
