Pm
72.5
158.2
80.9
9.3
33.5
0
0.1
0.2
9.2
40.9
75.8
84.4
79
112.2
172.2
17.5
17.5
0.8
9.3
10.4
51
51.1
13.1
140.8
134.5
190.7
88.6
31.1
11.1
3.2
5.2
3
21.8
46.4
157.6
85.4
175.9
101
63.4
51.1
0
0.9
6
0.4
12.5
38.8
76.3
103.4
169.3
150.8
155
36.4
17.6
1.1
0.2
3.1
14.4
30.8
10.6
191.4
124.4
251.2
78.9
20.5
3.9
3.8
0
5.2
0.5
15.2
52.1
171.5
272.2
113.1
156.8
32.8
2.1
0.2
0.1
1.8
32.6
38.5
58.7
91.7
234.7
180.8
138.9
91
18.7
0.7
7.2
7.5
42.6
32.3
51.5
106.6
238.4
220.4
86.6
43.1
1
6.5
1.3
58.7
19.5
18.3
29.5
92.4
187.3
209
133.7
29.4
26
1.5
0
1.2
9
33.5
27.4
170.7
192.9
120.3
134.7
19.3
16.5
4.8
3
15.1
62.3
2.6
8.3
84.9
89.3
191.8
169.4
14.5
1
0
2.2
0
21.3
38.3
116.3
121.7
301.4
129.7
103.8
61.8
0.2
1.2
0.1
1.5
11.2
25.8
109.7
173.8
199.7
112
115.7
40.6
2.1
0
2.4
4.7
0.9
44.7
76
111.9
97
80.3
188
9.6
4
0
1.6
14.2
43.4
82.1
40.1
53.8
167
174.6
153.5
64.2
0.3
0
0.2
49.1
18.5
29.8
55.5
136.9
165.4
96.3
127.8
62.1
2.4
0.9
0.5
5.7
53.5
70.9
143.7
47.9
50.3
84.4
30
20
9.4
3.5
0
2.7
12.3
16.6
13
56
221.8
235.7
142.1
39.2
15.3
2.8
2.8
11.7
7.6
83
139.4
173.2
99.2
250.2
124.8
129.1
25.8
18.3
0.9
3.9
24.2
29.1
120.2
155.2
133.7
230.8
181.2
83
7.5
1.1
4
9.8
24.1
8.9
32.3
172.2
174.6
74.7
58.8
16.2
2.4
4.5
20.7
2.4
3.9
33.3
102.7
68.5
215.3
81.6
198.9
91
11
0
0.8
2.6
10.8
34.1
12.7
103.2
156.7
77.1
117.7
61.5
1.5
4.4
1
4.4
2.7
11.5
40.3
53
151
52.9
42.9
24
6.5
41.4
0
11.1
2
81.8
115.1
88.3
132.4
105.1
102.9
59.1
11
27.4
2
1.6
11.9
32.2
34.6
90.3
119.8
91.5
69.7
24
1.7
3.4
0.9
36.8
0.2
38.6
39
76.8
169.7
53.3
112.5
43.2
4.5
5.9
0.4
20.4
6.6
77.6
85.8
119.6
168.4
119.3
111.1
75.1
7.7
8.7
0.3
3.4
7.8
18.3
75.7
109.4
115.7
94.1
107.8
32.6
2.4
0
0.7
3
14.9
17.4
46.4
87.1
208.5
109.8
95.9
42.5
11
4
8
11.1
12.4
14.2
66.3
147.3
163.9
166.5
115.6
58.8
4.9
6.3
0.6
19.8
32.9
34.1
98.7
89.5
138.8
135.1
100.6
31.3
1.8
5.6
0.4
3.8
1.6
38.1
71.1
59.5
133.9
110.7
147.1
98.3
9
2
1.1
2.1
18.2
88.3
18.6
86.6
168.2
165.1
138
35.5
5.2
8.1
0.3
7.6
8.9
72.7
23.4
104
225
183.6
112
47.4
10.3
1.9
2.7
19.2
13.5
51.5
35
64.4
106.7
161.3
133
82.1
21.3
3.1
21.2
11.7
10.5
89.8
87.5
134.4
194.8
130.9
159.9
19.9
7.7
3.9
0.2
0.6
22.8
13
27.5
137.8
219.2
131.7
78.8
47.5
2
0.7
7.1
17.6
20.9
11.3
24.6
85.5
119.8
253.9
90.4
41.6
1.5
0
0.3
0.6
15.8
41.4
74.5
117.1
211.6
109.1
140.5
40.5
0.7
1.6
0
2.7
25
42.6
82.2
86
107.2
92.6
225.5
65.8
10.5
0.1
5.5
2.2
27.9
28
76.8
84
231.9
66.4
62.5
4.3
0.6
1.3
0
0.7
3.1
43.9
36.1
202.5
95
159
109.1
26.4
0.9
0
4.5
0.3
10
30.5
107.2
103.7
152.5
161.2
70.5
31
11.7
1.5
0.8
3.6
8.3
28.9
47.1
126
